"","bin","prop","lwr","upr","cases","midpoint","method","mod","weights"
"19",NA,0.222222222222222,0.127932813514816,0.345478750394922,13.3333333333333,0.183463889049704,"linear","cils","tuned"
"20",NA,0.238095238095238,0.0538904515200962,0.637415880278878,1.66666666666667,0.622596341820875,"linear","cils","tuned"
"21",NA,0.00317604355716878,0.00161699753151028,0.00569724025531383,10.5,0.00730640324277513,"log-linear","ci","equal"
"22",NA,0.0204866364094806,0.0154462550063375,0.0266242885949454,54.1666666666667,0.024679643254222,"log-linear","ci","equal"
"23",NA,0.0613445378151261,0.0434839624458173,0.0837029410959755,36.5,0.0528691136636993,"log-linear","ci","equal"
"24",NA,0.172222222222222,0.0886225473503926,0.290171204027224,10.3333333333333,0.118914301614188,"log-linear","ci","equal"
"25",NA,0.214285714285714,0.0250203386776993,0.640070059465893,1.5,0.583418427961936,"log-linear","ci","equal"
"26",NA,0.00559588626739262,0.00336218895704018,0.0087614776580246,18.5,0.00656234145694502,"log-linear","cils","equal"
"27",NA,0.0148764498234997,0.0106334287911912,0.0202378277289444,39.3333333333333,0.0261472847132897,"log-linear","cils","equal"
"28",NA,0.0683473389355742,0.0494386062913005,0.0916701756554841,40.6666666666667,0.0756200216251743,"log-linear","cils","equal"
"29",NA,0.208333333333333,0.115358128375576,0.33164282078054,12.5,0.163607424361887,"log-linear","cils","equal"
"30",NA,0.285714285714286,0.0562112830609183,0.690960671268435,2,0.607572345993057,"log-linear","cils","equal"
"31",NA,0.0025206694898165,0.00120205992078608,0.00481704367562985,8.33333333333333,0.00565847877211972,"log-linear","ci","tuned"
"32",NA,0.0218734241048916,0.0166611806170232,0.0281784340772056,57.8333333333333,0.0235991466174836,"log-linear","ci","tuned"
"33",NA,0.0613445378151261,0.0435178478368664,0.0836702618404806,36.5,0.0606740574111424,"log-linear","ci","tuned"
"34",NA,0.141666666666667,0.0675217121565227,0.25376301432975,8.5,0.138998218445893,"log-linear","ci","tuned"
"35",NA,0.261904761904762,0.0458286643498479,0.673232455252225,1.83333333333333,0.596264828880115,"log-linear","ci","tuned"
"36",NA,0.00458761847146602,0.00259667280821287,0.00751920956404436,15.1666666666667,0.00510057456739417,"log-linear","cils","tuned"
"37",NA,0.0150655572365103,0.0107846427505472,0.0204637271855258,39.8333333333333,0.0246959135614871,"log-linear","cils","tuned"
"38",NA,0.0722689075630252,0.0528032532851397,0.0961028095419892,43,0.0806492652637823,"log-linear","cils","tuned"
"39",NA,0.222222222222222,0.127932813514816,0.345478750394922,13.3333333333333,0.184549262345563,"log-linear","cils","tuned"
"40",NA,0.238095238095238,0.0538904515200962,0.637415880278878,1.66666666666667,0.623495336075873,"log-linear","cils","tuned"
"41",NA,0.00332728372655777,0.00173355016445902,0.00588170034961822,11,0.0066500224365567,"trafo","ci","equal"
"42",NA,0.0204866364094806,0.015456772939678,0.0266140810368419,54.1666666666667,0.0227761703121225,"trafo","ci","equal"
"43",NA,0.0596638655462185,0.0420792724377347,0.0817672489701013,35.5,0.0475758857574745,"trafo","ci","equal"
"44",NA,0.175,0.0911846549678183,0.292911871063845,10.5,0.0968486979804681,"trafo","ci","equal"
"45",NA,0.261904761904762,0.0409166689411338,0.679607598685346,1.83333333333333,0.565398960098559,"trafo","ci","equal"
"46",NA,0.00564629965718895,0.00339508939844157,0.00882860864020487,18.6666666666667,0.00607379870108725,"trafo","cils","equal"
"47",NA,0.0148134140191629,0.0105772985947325,0.020168036823865,39.1666666666667,0.024568797650851,"trafo","cils","equal"
"48",NA,0.0680672268907563,0.0491957149637767,0.0913560406956105,40.5,0.0705721784352536,"trafo","cils","equal"
